index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 20:01:46.811, 97 %, 32768 MiB, 12037 MiB, 20464 MiB
0, 2024/05/13 20:01:56.811, 100 %, 32768 MiB, 12711 MiB, 19790 MiB
0, 2024/05/13 20:02:06.812, 97 %, 32768 MiB, 12857 MiB, 19644 MiB
0, 2024/05/13 20:02:16.813, 100 %, 32768 MiB, 10507 MiB, 21994 MiB
0, 2024/05/13 20:02:26.814, 100 %, 32768 MiB, 11517 MiB, 20984 MiB
0, 2024/05/13 20:02:36.814, 97 %, 32768 MiB, 10735 MiB, 21766 MiB
0, 2024/05/13 20:02:46.815, 100 %, 32768 MiB, 11567 MiB, 20934 MiB
0, 2024/05/13 20:02:56.816, 100 %, 32768 MiB, 11061 MiB, 21440 MiB
0, 2024/05/13 20:03:06.817, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/13 20:03:16.817, 100 %, 32768 MiB, 11237 MiB, 21264 MiB
0, 2024/05/13 20:03:26.818, 100 %, 32768 MiB, 9409 MiB, 23092 MiB
0, 2024/05/13 20:03:36.819, 100 %, 32768 MiB, 13003 MiB, 19498 MiB
0, 2024/05/13 20:03:46.820, 100 %, 32768 MiB, 8947 MiB, 23554 MiB
0, 2024/05/13 20:03:56.821, 98 %, 32768 MiB, 11993 MiB, 20508 MiB
0, 2024/05/13 20:04:06.822, 100 %, 32768 MiB, 12561 MiB, 19940 MiB
0, 2024/05/13 20:04:16.822, 97 %, 32768 MiB, 12193 MiB, 20308 MiB
0, 2024/05/13 20:04:26.823, 100 %, 32768 MiB, 11541 MiB, 20960 MiB
0, 2024/05/13 20:04:36.824, 98 %, 32768 MiB, 12199 MiB, 20302 MiB
0, 2024/05/13 20:04:46.825, 100 %, 32768 MiB, 10315 MiB, 22186 MiB
0, 2024/05/13 20:04:56.825, 100 %, 32768 MiB, 11019 MiB, 21482 MiB
0, 2024/05/13 20:05:06.826, 100 %, 32768 MiB, 9935 MiB, 22566 MiB
0, 2024/05/13 20:05:16.827, 100 %, 32768 MiB, 12011 MiB, 20490 MiB
0, 2024/05/13 20:05:26.828, 100 %, 32768 MiB, 11183 MiB, 21318 MiB
0, 2024/05/13 20:05:36.828, 97 %, 32768 MiB, 11927 MiB, 20574 MiB
0, 2024/05/13 20:05:46.829, 100 %, 32768 MiB, 12111 MiB, 20390 MiB
0, 2024/05/13 20:05:56.830, 97 %, 32768 MiB, 8635 MiB, 23866 MiB
0, 2024/05/13 20:06:06.831, 100 %, 32768 MiB, 9815 MiB, 22686 MiB
0, 2024/05/13 20:06:16.831, 100 %, 32768 MiB, 12271 MiB, 20230 MiB
0, 2024/05/13 20:06:26.832, 100 %, 32768 MiB, 12819 MiB, 19682 MiB
0, 2024/05/13 20:06:36.834, 100 %, 32768 MiB, 12383 MiB, 20118 MiB
0, 2024/05/13 20:06:46.835, 99 %, 32768 MiB, 11759 MiB, 20742 MiB
0, 2024/05/13 20:06:56.836, 100 %, 32768 MiB, 10555 MiB, 21946 MiB
0, 2024/05/13 20:07:06.837, 100 %, 32768 MiB, 13005 MiB, 19496 MiB
0, 2024/05/13 20:07:16.837, 100 %, 32768 MiB, 12561 MiB, 19940 MiB
0, 2024/05/13 20:07:26.838, 97 %, 32768 MiB, 12815 MiB, 19686 MiB
0, 2024/05/13 20:07:36.839, 100 %, 32768 MiB, 10057 MiB, 22444 MiB
0, 2024/05/13 20:07:46.840, 100 %, 32768 MiB, 10449 MiB, 22052 MiB
0, 2024/05/13 20:07:56.840, 100 %, 32768 MiB, 12555 MiB, 19946 MiB
0, 2024/05/13 20:08:06.841, 100 %, 32768 MiB, 11181 MiB, 21320 MiB
0, 2024/05/13 20:08:16.842, 100 %, 32768 MiB, 11569 MiB, 20932 MiB
0, 2024/05/13 20:08:26.843, 98 %, 32768 MiB, 12013 MiB, 20488 MiB
0, 2024/05/13 20:08:36.843, 100 %, 32768 MiB, 11277 MiB, 21224 MiB
0, 2024/05/13 20:08:46.844, 100 %, 32768 MiB, 11815 MiB, 20686 MiB
0, 2024/05/13 20:08:56.845, 98 %, 32768 MiB, 11937 MiB, 20564 MiB
0, 2024/05/13 20:09:06.846, 100 %, 32768 MiB, 9975 MiB, 22526 MiB
0, 2024/05/13 20:09:16.846, 100 %, 32768 MiB, 11097 MiB, 21404 MiB
0, 2024/05/13 20:09:26.847, 100 %, 32768 MiB, 10111 MiB, 22390 MiB
0, 2024/05/13 20:09:36.848, 100 %, 32768 MiB, 9451 MiB, 23050 MiB
0, 2024/05/13 20:09:46.849, 98 %, 32768 MiB, 12267 MiB, 20234 MiB
0, 2024/05/13 20:09:56.850, 100 %, 32768 MiB, 12313 MiB, 20188 MiB
0, 2024/05/13 20:10:06.850, 100 %, 32768 MiB, 12619 MiB, 19882 MiB
0, 2024/05/13 20:10:16.851, 100 %, 32768 MiB, 12457 MiB, 20044 MiB
